# Tile should be enumerate A - S
# Dice is a value 2 - 12
#
#
#        (7)      (6) 
#       61-62-63-64-65-66-67
#       |  Q  |  R  |  S  | (5)
#    51-52-53-54-55-56-57-58-59
#(8) |  M  |  N  |  O  |  P  |
# 41-42-43-44-45-46-47-48-49-4!-4@
# |  H  |  I  |  J  |  K  |  L  |(4)
# 31-32-33-34-35-36-37-38-39-3!-3@
# (9)|  D  |  E  |  F  |  G  |
#    21-22-23-24-25-26-27-28-29
#       |  A  |  B  |  C  |(3)
#       11-12-13-14-15-16-17
#        (1)      (2) 
# 
#
# Note: the numbers (x) are the ports
#
# Resource is a value W[ood],S[tone],G[rain],B[rick],P[asture]
# Tile,Dice,Resource
A,11,g
B,4,w
C,8,p
D,3,b
E,2,w
F,10,g
G,11,w
H,6,s
I,5,p
J,7,d
K,9,g
L,12,p
M,4,b
N,3,p
O,8,b
P,10,s
Q,6,w
R,5,g
S,9,s
3,p
5,s
6,g
8,w
9,b
