"CountSettlement","CountCity","CountRoad","SumWoodDiceWeight","SumBrickDiceWeight","SumPastureDiceWeight","SumStoneDiceWeight","SumGrainDiceWeight","CountPortWood","CountPortBrick","CountPortPasture","CountPortStone","CountPortGrain","CountHandWood","CountHandBrick","CountHandPasture","CountHandStone","CountHandGrain","CountDevCardsKnight","CountDevCardsMonopoly","CountDevCardsYearOfPlenty","CountDevCardsRoadBuilding","CountDevCardsVictoryPoint","CountVictoryPoint","WonGame"
2,0,2,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1
2,0,6,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1
2,0,5,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2,0,4,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1
2,0,6,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,9,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,0,8,0,4,3,10,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,1
3,0,4,0,0,5,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
2,0,10,9,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1
0,2,6,0,8,0,6,10,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1
0,2,4,0,0,2,12,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
1,1,4,0,8,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,1,5,10,0,6,8,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1
0,2,8,0,8,0,12,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
3,0,4,5,0,4,0,5,0,1,0,0,1,0,0,2,0,0,3,0,1,0,0,0,1
2,1,13,10,6,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2,0,2,6,0,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,2,2,10,0,0,6,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,0,4,4,0,3,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,1,5,0,4,0,6,5,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1
2,0,7,5,0,3,3,5,0,0,1,0,0,0,0,2,0,0,4,1,0,1,2,0,1
2,0,5,4,0,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,0,3,0,4,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1
2,0,2,0,0,4,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
2,0,2,9,0,3,0,8,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1
2,0,7,5,2,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2,0,2,0,0,3,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1
2,0,7,10,2,3,4,2,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,1
3,0,6,11,4,2,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,2,0,0,4,14,2,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,1
2,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1
1,1,13,8,4,0,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
0,2,3,0,0,0,6,6,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,1
2,0,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1
0,2,5,12,0,4,8,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2,1,14,15,8,0,7,10,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
2,0,7,4,0,3,3,3,0,0,0,0,0,1,1,0,1,0,6,2,0,0,0,0,1
2,0,3,1,0,4,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2,0,4,5,0,0,0,5,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
