"CountSettlement","CountTotalSettlement","CountCity","CountRoad","SumWoodDiceWeight","SumBrickDiceWeight","SumPastureDiceWeight","SumStoneDiceWeight","SumGrainDiceWeight","CountPortWood","CountPortBrick","CountPortPasture","CountPortStone","CountPortGrain","CountHandWood","CountHandBrick","CountHandPasture","CountHandStone","CountHandGrain","CountTotalWood","CountTotalBrick","CountTotalPasture","CountTotalStone","CountTotalGrain","CountDevCardsKnight","CountDevCardsMonopoly","CountDevCardsYearOfPlenty","CountDevCardsRoadBuilding","CountDevCardsVictoryPoint","HasLargestArmy","HasLongestRoad","CountVictoryPoint","HasMostPoints","WonGame"
1,2,1,13,12,0,10,2,0,0,0,0,0,0,0,0,10,1,1,14,14,18,11,11,2,1,1,0,3,0,0,6,0,0
2,2,0,14,0,5,5,3,0,1,0,0,0,0,5,5,6,7,1,21,21,16,15,11,9,1,1,2,0,1,1,6,0,0
2,2,0,9,3,0,0,0,10,0,1,0,0,0,0,0,1,0,14,11,11,4,1,17,0,0,0,0,1,0,0,3,0,0
2,2,0,5,0,4,3,3,0,1,0,0,1,0,5,5,1,1,0,12,12,5,3,4,1,0,0,0,0,0,0,2,0,0
0,2,2,5,0,10,4,6,6,0,0,0,0,0,7,7,0,0,3,12,12,5,11,12,9,0,2,0,1,1,0,7,0,0
0,3,3,12,14,0,4,8,20,0,1,0,0,0,0,0,1,4,11,12,12,8,20,24,3,2,0,2,3,0,1,11,1,1
1,4,3,14,14,11,0,8,6,0,0,0,0,0,8,8,1,0,4,23,23,5,12,14,1,0,0,0,1,0,1,10,1,1
2,2,0,8,2,0,4,2,0,0,0,0,0,0,0,0,2,3,0,10,10,10,9,8,3,0,1,1,0,0,0,2,0,0
2,2,0,6,0,5,2,0,5,0,0,0,0,0,2,2,2,0,2,10,10,9,5,9,0,1,0,1,1,0,0,3,0,0
4,4,0,13,4,0,6,11,5,0,0,0,0,0,18,18,3,7,1,35,35,16,16,14,7,2,1,2,3,1,1,11,1,1
3,3,0,14,6,1,6,0,0,0,0,0,0,0,0,0,4,0,0,17,17,7,0,3,0,0,0,0,0,0,0,3,0,0
5,5,0,14,11,9,7,0,11,0,0,0,0,0,0,0,2,0,2,19,19,10,3,10,1,0,0,0,1,0,0,6,0,0
2,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,4,6,0,5,5,8,8,4,0,1,0,0,0,0,0,2,0,0
5,5,0,14,6,23,7,0,10,0,0,0,1,0,3,3,1,0,3,22,22,9,3,11,3,0,0,0,1,1,1,10,1,1
2,2,0,3,0,1,9,3,0,1,0,0,0,0,4,4,8,2,0,9,9,12,4,4,1,0,0,0,0,0,0,2,0,0
4,5,1,14,12,10,8,6,8,0,1,0,0,0,3,3,0,3,1,21,21,8,10,11,5,0,1,0,0,1,1,10,1,1
2,2,0,2,0,1,1,0,0,0,0,0,0,0,3,3,1,0,0,7,7,5,2,4,1,0,0,0,0,0,0,2,0,0
0,2,2,4,0,10,0,6,16,0,0,0,0,1,3,3,0,2,3,7,7,4,12,11,1,1,0,0,0,0,0,4,0,0
5,5,0,14,6,6,7,0,0,0,0,1,1,0,1,1,6,1,0,20,20,11,1,5,0,0,0,0,0,0,0,5,0,0
0,2,2,8,0,10,0,4,10,0,0,0,0,0,1,1,0,0,4,9,9,5,11,13,1,1,0,0,1,0,1,7,0,0
1,3,2,6,0,10,10,6,9,0,0,0,0,0,0,0,6,0,2,7,7,16,15,16,13,1,2,1,3,1,0,10,1,1
2,2,0,10,3,5,0,0,5,0,1,0,0,1,1,1,0,0,8,13,13,2,0,10,0,0,0,0,0,0,1,4,0,0
4,6,2,13,9,10,12,16,18,0,0,0,0,0,10,10,4,12,3,27,27,11,21,14,5,0,0,0,1,1,0,11,1,1
2,2,0,2,0,0,3,0,5,0,0,0,0,0,0,0,5,0,0,4,4,8,1,3,0,0,0,0,1,0,0,3,0,0
2,5,3,11,10,13,13,12,16,1,0,0,0,0,3,3,5,0,11,16,16,9,11,21,1,0,0,0,0,0,1,10,1,1
2,2,0,3,0,0,0,0,10,0,0,0,0,0,0,0,1,0,13,5,5,3,0,15,0,0,0,0,0,0,0,2,0,0
2,2,0,3,0,6,3,0,0,0,0,0,0,0,5,5,2,0,0,10,10,6,2,4,1,0,0,0,0,0,0,2,0,0
